"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18483","Get SMS and apply it in 2FA form","","Wed Aug 07 06:48:15 UTC 2024","failed","Wed Aug 07 06:48:34 UTC 2024","","15. Test 2 Factor Login is working","",""
"","0","6. Submit Change","","Wed Aug 07 06:44:13 UTC 2024","skipped","Wed Aug 07 06:44:13 UTC 2024","","13. Client Portal - Change Portfolio","",""
"","0","4. Complete Build Your Portfolio","","Wed Aug 07 06:44:13 UTC 2024","skipped","Wed Aug 07 06:44:13 UTC 2024","","13. Client Portal - Change Portfolio","",""
"","0","4. Complete Risk Profile","","Wed Aug 07 09:07:35 UTC 2024","skipped","Wed Aug 07 09:07:35 UTC 2024","","23. Change Portfolio for Interactive Brokers","",""
"","1461","7. Visit Contact","","Wed Aug 07 07:05:01 UTC 2024","passed","Wed Aug 07 07:05:02 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","248620","2. Check Navbar","","Wed Aug 07 07:28:23 UTC 2024","passed","Wed Aug 07 07:32:32 UTC 2024","","18. Check Admin header","",""
"","0","4. Check Tactical Panel","","Wed Aug 07 06:14:23 UTC 2024","skipped","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
"","9679","2. Direct to Investment Account Search","","Wed Aug 07 07:35:05 UTC 2024","passed","Wed Aug 07 07:35:15 UTC 2024","","19. Look Up Investment Account","",""
"","1377","2. Check Form Page","","Wed Aug 07 06:25:52 UTC 2024","passed","Wed Aug 07 06:25:53 UTC 2024","","12. Client Portal - Forms","",""
"","1","2. Direct user to “Investment Choice”","","Wed Aug 07 06:44:13 UTC 2024","skipped","Wed Aug 07 06:44:13 UTC 2024","","13. Client Portal - Change Portfolio","",""
"","4303","4. Expand Account ID 445","","Wed Aug 07 07:35:17 UTC 2024","passed","Wed Aug 07 07:35:22 UTC 2024","","19. Look Up Investment Account","",""
"","102966","4. Check Administration Page","","Wed Aug 07 06:22:08 UTC 2024","failed","Wed Aug 07 06:23:51 UTC 2024","","11. Client Portal - Administration","",""
"","13625","1. Log in using manager login","","Wed Aug 07 07:34:52 UTC 2024","passed","Wed Aug 07 07:35:05 UTC 2024","","19. Look Up Investment Account","",""
"","1","3. Direct user to Account Dashboard","","Wed Aug 07 06:14:23 UTC 2024","skipped","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
"","1660","2. Check Administration Page","","Wed Aug 07 06:22:06 UTC 2024","passed","Wed Aug 07 06:22:08 UTC 2024","","11. Client Portal - Administration","",""
"","2","1. Direct user to “Your Accounts” page","","Wed Aug 07 06:14:23 UTC 2024","broken","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
"","11346","1. Log in using manager login","","Wed Aug 07 07:28:12 UTC 2024","passed","Wed Aug 07 07:28:23 UTC 2024","","18. Check Admin header","",""
"","1433","4. Expand Personal Investment Forms","","Wed Aug 07 06:25:58 UTC 2024","passed","Wed Aug 07 06:26:00 UTC 2024","","12. Client Portal - Forms","",""
"","152348","10. Check wordpress image uploaded date","","Wed Aug 07 07:07:55 UTC 2024","failed","Wed Aug 07 07:10:27 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","3247","3. Visit Ethical Investing","","Wed Aug 07 07:04:40 UTC 2024","passed","Wed Aug 07 07:04:44 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","11971","8. Visit Member Login","","Wed Aug 07 07:05:02 UTC 2024","passed","Wed Aug 07 07:05:14 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","1","1. Log into user with IB access and direct user to “Your Account(s)” page","","Wed Aug 07 09:07:35 UTC 2024","broken","Wed Aug 07 09:07:35 UTC 2024","","23. Change Portfolio for Interactive Brokers","",""
"","0","3. Direct user to “Build Your Portfolio”","","Wed Aug 07 09:07:35 UTC 2024","skipped","Wed Aug 07 09:07:35 UTC 2024","","23. Change Portfolio for Interactive Brokers","",""
"","2478","3. Search Account ID 445","","Wed Aug 07 07:35:15 UTC 2024","passed","Wed Aug 07 07:35:17 UTC 2024","","19. Look Up Investment Account","",""
"","2186","4. Visit Superannuation","","Wed Aug 07 07:04:44 UTC 2024","passed","Wed Aug 07 07:04:46 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","0","6. Check Final Review","","Wed Aug 07 09:07:35 UTC 2024","skipped","Wed Aug 07 09:07:35 UTC 2024","","23. Change Portfolio for Interactive Brokers","",""
"","0","7. Expand Portfolio","","Wed Aug 07 06:14:23 UTC 2024","skipped","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
"","421","3. Check Upload Verification Documents","","Wed Aug 07 06:22:08 UTC 2024","passed","Wed Aug 07 06:22:08 UTC 2024","","11. Client Portal - Administration","",""
"","16062","1. Direct user to “Forms” page","","Wed Aug 07 06:25:36 UTC 2024","passed","Wed Aug 07 06:25:52 UTC 2024","","12. Client Portal - Forms","",""
"","4789","1. Direct to forgot password page","","Wed Aug 07 08:10:38 UTC 2024","passed","Wed Aug 07 08:10:43 UTC 2024","","21. Forgot password function","",""
"","1","2. Direct user to “Investment Choice”","","Wed Aug 07 09:07:35 UTC 2024","skipped","Wed Aug 07 09:07:35 UTC 2024","","23. Change Portfolio for Interactive Brokers","",""
"","0","8. Expand Performance","","Wed Aug 07 06:14:23 UTC 2024","skipped","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
"","2","1. Direct user to “Your Account(s)” page","","Wed Aug 07 06:44:13 UTC 2024","broken","Wed Aug 07 06:44:13 UTC 2024","","13. Client Portal - Change Portfolio","",""
"","0","5. Expand Strategic","","Wed Aug 07 06:14:23 UTC 2024","skipped","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
"","160270","9. Visit Get Started","","Wed Aug 07 07:05:14 UTC 2024","failed","Wed Aug 07 07:07:55 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","0","5. Check Final Review","","Wed Aug 07 06:44:13 UTC 2024","skipped","Wed Aug 07 06:44:13 UTC 2024","","13. Client Portal - Change Portfolio","",""
"","13452","1. Direct user to “Administration” page","","Wed Aug 07 06:21:53 UTC 2024","passed","Wed Aug 07 06:22:06 UTC 2024","","11. Client Portal - Administration","",""
"","174101","1. Create a new user","","Wed Aug 07 05:53:23 UTC 2024","failed","Wed Aug 07 05:56:17 UTC 2024","","8. Sign Up new user","",""
"","10229","2. Reset password","","Wed Aug 07 08:10:43 UTC 2024","failed","Wed Aug 07 08:10:53 UTC 2024","","21. Forgot password function","",""
"","2613","2. Visit Investment Options","","Wed Aug 07 07:04:38 UTC 2024","passed","Wed Aug 07 07:04:40 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","0","3. Direct user to “Build Your Portfolio”","","Wed Aug 07 06:44:13 UTC 2024","skipped","Wed Aug 07 06:44:13 UTC 2024","","13. Client Portal - Change Portfolio","",""
"","10445","1. Visit Production Site","","Wed Aug 07 07:04:27 UTC 2024","passed","Wed Aug 07 07:04:38 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","0","5. Complete Build Your Portfolio","","Wed Aug 07 09:07:35 UTC 2024","skipped","Wed Aug 07 09:07:35 UTC 2024","","23. Change Portfolio for Interactive Brokers","",""
"","16519","1. Check links","","Wed Aug 07 05:58:07 UTC 2024","passed","Wed Aug 07 05:58:23 UTC 2024","","9. Client Portal - Home","",""
"","9996","6. Visit Resources","","Wed Aug 07 07:04:51 UTC 2024","passed","Wed Aug 07 07:05:01 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","4852","3. Expand Superannuation Forms","","Wed Aug 07 06:25:53 UTC 2024","passed","Wed Aug 07 06:25:58 UTC 2024","","12. Client Portal - Forms","",""
"","0","6. Expand Ethics/Exclusions","","Wed Aug 07 06:14:23 UTC 2024","skipped","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
"","4728","5. Visit Direct Indexing","","Wed Aug 07 07:04:46 UTC 2024","passed","Wed Aug 07 07:04:51 UTC 2024","","16. Nucleus Wealth Wordpress Site","",""
"","0","2. Overall asset summary panel","","Wed Aug 07 06:14:23 UTC 2024","skipped","Wed Aug 07 06:14:23 UTC 2024","","10. Client Portal - Account Dashboard","",""
